ADRESSEID;TYPE;KOMMUNENR;ADRESSEKODE;ADRESSENAVN;KORTADRESSENAVN;NR;BOKSTAV;GARDSNR;BRUKSNR;FESTENR;SEKSJONSNR;UNDERNR;KORTADRESSETILLEGGSNAVN;TILLEGGSNAVNKILDEKODE;TILLEGGSNAVNKILDENAVN;KOORDINATSYSTEMKODE;NORD;OST;GRUNNKRETSNR;GRUNNKRETSNAVN;KIRKESOGNNR;KIRKESOGNNAVN;TETTSTEDNR;TETTSTEDNAVN;VALGKRETSNR;VALGKRETSNAVN;POSTNUMMER;POSTNUMMEROMRADE
292203365;Vegadresse;2111;1238;Vei 238;Vei 238;28;;22;125;0;0;;;;;23;8683065.0;515081.0;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
292203386;Vegadresse;2111;1227;Vei 227;Vei 227;1;;22;99;0;0;;;;;23;8682913.0;514632.0;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
292203387;Vegadresse;2111;1227;Vei 227;Vei 227;3;;22;330;0;0;;;;;23;8683007.0;514695.0;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
292203384;Vegadresse;2111;1238;Vei 238;Vei 238;8;;22;153;0;0;;;;;23;8683107.0;514933.0;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
292203385;Vegadresse;2111;1229;Vei 229;Vei 229;1;;22;203;0;0;;;;;23;8683061.0;514784.0;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
488648499;Vegadresse;2111;1308;Vei 308;Vei 308;1;A;22;616;0;0;;;;;23;8683571.1;514269.6;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
292203390;Vegadresse;2111;1401;Vei 401;Vei 401;24;;22;250;0;0;;;;;23;8683387.0;514934.0;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
292203391;Vegadresse;2111;1309;Vei 309;Vei 309;1;;22;280;0;0;;;;;23;8683269.0;514200.0;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
292203388;Vegadresse;2111;1222;Vei 222;Vei 222;13;;22;29;0;0;;;;;23;8682296.0;514428.0;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
292203389;Vegadresse;2111;1102;Vei 102;Vei 102;3;;22;45;0;0;;;;;23;8681903.0;513950.0;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
292203378;Vegadresse;2111;1620;Vei 620;Vei 620;11;;22;413;0;0;;;;;23;8686220.0;511333.0;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
292203379;Vegadresse;2111;1622;Vei 622;Vei 622;2;;22;400;0;0;;;;;23;8685480.0;512025.0;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
292203376;Vegadresse;2111;1618;Vei 618;Vei 618;2;;22;1;0;0;;;;;23;8685557.0;512287.0;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
292203377;Vegadresse;2111;1619;Vei 619;Vei 619;1;;22;495;0;0;;;;;23;8685948.0;511314.0;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
292203382;Vegadresse;2111;1238;Vei 238;Vei 238;4;;22;112;0;0;;;;;23;8683111.0;514918.0;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
292203383;Vegadresse;2111;1238;Vei 238;Vei 238;6;;22;155;0;0;;;;;23;8683109.0;514926.0;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
292203380;Vegadresse;2111;1229;Vei 229;Vei 229;3;;22;109;0;0;;;;;23;8683108.0;514764.0;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
292203381;Vegadresse;2111;1238;Vei 238;Vei 238;2;;22;110;0;0;;;;;23;8683114.0;514908.0;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
292203338;Vegadresse;2111;1236;Vei 236;Vei 236;53;B;22;285;0;0;;;;;23;8682942.0;515260.0;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
292203339;Vegadresse;2111;1238;Vei 238;Vei 238;45;B;22;308;0;0;;;;;23;8682997.0;515264.0;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
292203336;Vegadresse;2111;1236;Vei 236;Vei 236;51;A;22;127;0;0;;;;;23;8682952.0;515244.0;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
292203337;Vegadresse;2111;1236;Vei 236;Vei 236;53;A;22;148;0;0;;;;;23;8682945.0;515255.0;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
292203342;Vegadresse;2111;1238;Vei 238;Vei 238;43;A;22;137;0;0;;;;;23;8683009.0;515249.0;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
